année,pop_id,cha_id,nombre_employe
1990,pop_1,cha_3,18
1991,pop_1,cha_3,17
1992,pop_1,cha_3,16
1993,pop_1,cha_3,20
1994,pop_1,cha_3,14
1995,pop_1,cha_3,14
1996,pop_1,cha_3,15
1997,pop_1,cha_3,7
1998,pop_1,cha_3,5
1999,pop_1,cha_3,14
2000,pop_1,cha_3,8
2001,pop_1,cha_3,14
2002,pop_1,cha_3,7
2003,pop_1,cha_3,4
2004,pop_1,cha_3,6
2005,pop_1,cha_3,8
2006,pop_1,cha_3,6
2007,pop_1,cha_3,8
2008,pop_1,cha_3,5
2009,pop_1,cha_3,11
2010,pop_1,cha_3,14
2011,pop_1,cha_3,5
2012,pop_1,cha_3,7
2013,pop_1,cha_3,8
2014,pop_1,cha_3,3
2015,pop_1,cha_3,4
2016,pop_1,cha_3,3
2017,pop_1,cha_3,4
2018,pop_1,cha_3,4
2019,pop_1,cha_3,3
2020,pop_1,cha_3,91
1990,pop_2,cha_3,90
1991,pop_2,cha_3,101
1992,pop_2,cha_3,81
1993,pop_2,cha_3,167
1994,pop_2,cha_3,128
1995,pop_2,cha_3,104
1996,pop_2,cha_3,107
1997,pop_2,cha_3,66
1998,pop_2,cha_3,59
1999,pop_2,cha_3,109
2000,pop_2,cha_3,45
2001,pop_2,cha_3,64
2002,pop_2,cha_3,59
2003,pop_2,cha_3,54
2004,pop_2,cha_3,49
2005,pop_2,cha_3,52
2006,pop_2,cha_3,40
2007,pop_2,cha_3,35
2008,pop_2,cha_3,36
2009,pop_2,cha_3,103
2010,pop_2,cha_3,88
2011,pop_2,cha_3,28
2012,pop_2,cha_3,48
2013,pop_2,cha_3,63
2014,pop_2,cha_3,38
2015,pop_2,cha_3,31
2016,pop_2,cha_3,33
2017,pop_2,cha_3,26
2018,pop_2,cha_3,35
2019,pop_2,cha_3,28
2020,pop_2,cha_3,555
1990,pop_3,cha_3,54
1991,pop_3,cha_3,51
1992,pop_3,cha_3,41
1993,pop_3,cha_3,58
1994,pop_3,cha_3,50
1995,pop_3,cha_3,43
1996,pop_3,cha_3,44
1997,pop_3,cha_3,30
1998,pop_3,cha_3,28
1999,pop_3,cha_3,48
2000,pop_3,cha_3,29
2001,pop_3,cha_3,40
2002,pop_3,cha_3,32
2003,pop_3,cha_3,23
2004,pop_3,cha_3,14
2005,pop_3,cha_3,19
2006,pop_3,cha_3,14
2007,pop_3,cha_3,15
2008,pop_3,cha_3,16
2009,pop_3,cha_3,38
2010,pop_3,cha_3,37
2011,pop_3,cha_3,15
2012,pop_3,cha_3,19
2013,pop_3,cha_3,31
2014,pop_3,cha_3,19
2015,pop_3,cha_3,17
2016,pop_3,cha_3,13
2017,pop_3,cha_3,13
2018,pop_3,cha_3,25
2019,pop_3,cha_3,17
2020,pop_3,cha_3,270
1990,pop_4,cha_3,2
1991,pop_4,cha_3,6
1992,pop_4,cha_3,3
1993,pop_4,cha_3,3
1994,pop_4,cha_3,4
1995,pop_4,cha_3,4
1996,pop_4,cha_3,1
1997,pop_4,cha_3,1
1998,pop_4,cha_3,0
1999,pop_4,cha_3,3
2000,pop_4,cha_3,2
2001,pop_4,cha_3,1
2002,pop_4,cha_3,2
2003,pop_4,cha_3,3
2004,pop_4,cha_3,2
2005,pop_4,cha_3,3
2006,pop_4,cha_3,3
2007,pop_4,cha_3,2
2008,pop_4,cha_3,3
2009,pop_4,cha_3,4
2010,pop_4,cha_3,3
